S.No.,"Vendor
Name","GST
IN",State,Manufacturer,"Drug
License
No.","Store
Name","PO
No.","PO
Date","GRN
No.","GRN
Status",GRN Type,"GRN
Date","GRN
Compl.
Date","Invoice
No.","Invoice
Date","Drug
Code","Drug
Description","HSN
Code","Purchase
UOM","Batch
No.","Mfg
Date","Expiry
Date","Free
Item",Tax Scheme Name,Qty,Rate,MRP,"MRP
(I/E)","Total
Rate","Disc
Amt","Tax
Amt","Grand
Total"
1,BAJAJ SALES AGENCY,07AHOPB9208N1ZX,Delhi,MSN Lab Pvt Limited,"20B-,153890,20B 153891,21 153892,21B 153893",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5087-A,19/09/2026,SE/PH/GRN/26/6655,CLOSED,Against PO,19/09/2026,19/09/2026,S3-26-16039,18/09/2026,CNB125,CNB 12.5mg Tab,30049099,Nos,141752^4RG08026A,01/08/2026,31/07/2028,N,Outside State Purchase GST-5%,500.00,5.79,9.50,I,2895.00,115.80,138.96,2918.16
2,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Delhi,Cipla Ltd,FORM 20B-DL-HRN-123525/FORM 21 B-DL-HRN-123526,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5218,18/09/2026,SE/PH/GRN/26/6656,CLOSED,Against PO,19/09/2026,19/09/2026,DEL-26-39742,16/09/2026,LEV500,Levepsy 5ml Injection,30049082,Nos,141728^AQW18ADB,01/06/2026,31/05/2028,N,Outside State Purchase GST-5%,39.00,31.84,110.36,I,1241.76,62.09,58.98,1238.66
3,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Delhi,Cipla Ltd,FORM 20B-DL-HRN-123525/FORM 21 B-DL-HRN-123526,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5218,18/09/2026,SE/PH/GRN/26/6657,CLOSED,Against PO,19/09/2026,19/09/2026,DEL-26-39772,16/09/2026,LEV500,Levepsy 5ml Injection,30049082,Nos,141728^AQW18ADB,01/06/2026,31/05/2028,N,Outside State Purchase GST-5%,30.00,31.84,110.36,I,955.20,47.76,45.37,952.81
4,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Delhi,Cipla Ltd,FORM 20B-DL-HRN-123525/FORM 21 B-DL-HRN-123526,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5218,18/09/2026,SE/PH/GRN/26/6658,CLOSED,Against PO,19/09/2026,19/09/2026,DEL-26-39774,16/09/2026,TCN200,Ticocin 200mg Inj,30042099,Vial,140280^AB260104A,01/02/2026,31/01/2028,N,Outside State Purchase GST-5%,50.00,325.00,1713.96,I,16250.00,812.50,771.88,16209.38
5,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Delhi,Cipla Ltd,FORM 20B-DL-HRN-123525/FORM 21 B-DL-HRN-123526,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5233,19/09/2026,SE/PH/GRN/26/6659,CLOSED,Against PO,19/09/2026,19/09/2026,DEL-26-39735,16/09/2026,IRP008,Itrop Plus Eye Drops,30049029,Bottle,132171^6A00002,01/01/2026,31/12/2027,N,Inside State Purchase GST-5%,100.00,55.15,113.24,I,5515.00,275.75,261.96,5501.21
6,R.K Pharma,07AAIFR7148G1ZY,Delhi,Zydus Cadila Healthcare Ltd,"DL- MLN-111700, DL- MLN-111701",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/3867,07/08/2026,SE/PH/GRN/26/6660,CLOSED,Against PO,19/09/2026,19/09/2026,MD/26-27/29854,18/09/2026,PST667,Phostat 667mg Tab,30049086,Tablet,141836^SB00581A,01/08/2026,31/07/2028,N,Outside State Purchase GST-5%,300.00,0.85,3.96,I,255.00,12.75,12.11,254.36
7,R.K Pharma,07AAIFR7148G1ZY,Delhi,Zydus Cadila Healthcare Ltd,"DL- MLN-111700, DL- MLN-111701",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/4943,10/09/2026,SE/PH/GRN/26/6661,CLOSED,Against PO,19/09/2026,19/09/2026,MD/26-27/29732,17/09/2026,GMB200,Gembin 200mg Inj,30049099,Vial,135319^26EGM01,01/05/2026,30/04/2028,N,Outside State Purchase GST-5%,60.00,125.00,1022.70,I,7500.00,0.00,375.00,7875.00
8,R.K Pharma,07AAIFR7148G1ZY,Delhi,BIOLOGICAL E LIMITED,"DL- MLN-111700, DL- MLN-111701",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5117,17/09/2026,SE/PH/GRN/26/6662,CLOSED,Against PO,19/09/2026,19/09/2026,MD/26-27/29676,17/09/2026,HEP050,Hepadot 50mg/5ml Inj,30019099,Nos,141755^IPTAA1504,01/05/2025,30/04/2027,N,Outside State Purchase GST-5%,100.00,33.00,52.23,I,3300.00,165.00,156.75,3291.75
9,R.K Pharma,07AAIFR7148G1ZY,Delhi,Zydus Cadila Healthcare Ltd,"DL- MLN-111700, DL- MLN-111701",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5121,17/09/2026,SE/PH/GRN/26/6663,CLOSED,Against PO,19/09/2026,19/09/2026,MD/26-27/29565,17/09/2026,MP006,6 MP 50mg Tab,30049049,Tablet,141833^CWC1143,01/08/2026,31/07/2028,N,Outside State Purchase GST-5%,100.00,2.50,5.63,I,250.00,0.00,12.50,262.50
10,R.K Pharma,07AAIFR7148G1ZY,Delhi,Zydus Cadila Healthcare Ltd,"DL- MLN-111700, DL- MLN-111701",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5121,17/09/2026,SE/PH/GRN/26/6663,CLOSED,Against PO,19/09/2026,19/09/2026,MD/26-27/29565,17/09/2026,DON050,Duxocin 50mg Inj,30049046,Vial,117914^BYB1137,01/10/2025,31/03/2028,N,Outside State Purchase GST-5%,10.00,145.00,311.30,I,1450.00,0.00,72.50,1522.50
11,R.K Pharma,07AAIFR7148G1ZY,Delhi,Zydus Cadila Healthcare Ltd,"DL- MLN-111700, DL- MLN-111701",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5121,17/09/2026,SE/PH/GRN/26/6663,CLOSED,Against PO,19/09/2026,19/09/2026,MD/26-27/29565,17/09/2026,GMB200,Gembin 200mg Inj,30049099,Vial,135319^26EGM01,01/05/2026,30/04/2028,N,Outside State Purchase GST-5%,10.00,125.00,1022.70,I,1250.00,0.00,62.50,1312.50
12,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Delhi,Cipla Ltd,FORM 20B-DL-HRN-123525/FORM 21 B-DL-HRN-123526,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5215,18/09/2026,SE/PH/GRN/26/6664,CLOSED,Against PO,19/09/2026,19/09/2026,DEL-26-39772,17/09/2026,CAL031,Carloc 3.125 mg Tab,30049099,(1.00 x Tablet),141844^6EC0365,01/05/2026,30/04/2029,N,Outside State Purchase GST-5%,900.00,2.93,5.02,I,2640.60,132.03,125.43,2634.00
13,Roche Products (India) Pvt Ltd,06AAACR2744K1ZD,Haryana,Roche,HR-66-1341-OWH ; HR-66-1341-W/H,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5086,16/09/2026,SE/PH/GRN/26/6665,CLOSED,Against PO,19/09/2026,19/09/2026,HADH48300004041,18/09/2026,HLB150,Hemlibra 150mg/1ml Inj,30021500,Vial,133632^B0275B08,10/10/2025,30/09/2027,N,Inside State Purchase GST-0%,1.00,205001.00,256825.00,I,205001.00,0.00,0.00,205001.00
14,Dinkar Pharmaceuticals,06CKTPK0152J1ZZ,Haryana,Aristo Pharmaceuticals Ltd.,RLF21B2023HR001875/770741  W/H & RLF20B2023HR00188,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/4527,31/08/2026,SE/PH/GRN/26/6666,CLOSED,Against PO,19/09/2026,19/09/2026,DP02506,18/09/2026,MLT003,Meloset 3mg Tab,30049099,Tablet,141365^MPF261807,01/06/2026,31/05/2028,N,Inside State Purchase GST-5%,500.00,5.00,6.56,I,2500.00,125.00,118.75,2493.75
15,Dinkar Pharmaceuticals,06CKTPK0152J1ZZ,Haryana,FDC Limited,RLF21B2023HR001875/770741  W/H & RLF20B2023HR00188,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5092,17/09/2026,SE/PH/GRN/26/6667,CLOSED,Against PO,19/09/2026,19/09/2026,DP02504,18/09/2026,SML0100,Simyl MCT Oil 100ml,21069099,Bottle,141841^0326G058,01/07/2026,31/12/2027,N,Inside State Purchase GST-5%,50.00,274.29,360.00,I,13714.50,685.73,651.44,13680.21
16,AMSHEE SALES,07AAHFA1017E1Z4,Delhi,Bayer Corporation,20B-DL-GRK-133063 / FORM 21 B-DL-GRK-133064,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5222,19/09/2026,SE/PH/GRN/26/6668,CLOSED,Against PO,19/09/2026,19/09/2026,G-261356,19/09/2026,EYL002,Eylea 40mg/ml inj,30021099,Vial,139147^KT10KPS,01/09/2025,31/08/2027,N,Outside State Purchase GST-5%,1.00,22855.62,29998.00,I,22855.62,0.00,1142.78,23998.40
17,KOMAL AGENCIES,07AAAPK2268C1Z5,Delhi,sandor,,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5231,19/09/2026,SE/PH/GRN/26/6669,CLOSED,Against PO,19/09/2026,19/09/2026,T26-27/09004,19/09/2026,THYG25,Thymoglobuline 25mg/5ml Inj,30049099,Vial,141228^GW0717,04/10/2025,30/09/2028,N,Outside State Purchase GST-5%,2.00,22362.11,28174.00,I,44724.22,0.00,2236.21,46960.43
18,KOMAL AGENCIES,07AAAPK2268C1Z5,Delhi,Stedfast Pvt ltd,,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5097,17/09/2026,SE/PH/GRN/26/6670,CLOSED,Against PO,19/09/2026,19/09/2026,T26-27/09003,19/09/2026,ADD3232,Addphos Sachet 3.2gm,30049099,Sachet,137604^SM1G-26016,01/06/2026,31/05/2028,N,Outside State Purchase GST-5%,225.00,11.05,24.38,I,2486.25,124.31,118.10,2480.03
19,Local Purchase Pharmacy,*,Haryana,SUN PHARMACEUTICAL INDUSTRIES LTD,,PS/MN/20B/00 (PH MAIN STORE),,,SE/PH/GRN/26/6671,CLOSED,Cash Purchase,19/09/2026,19/09/2026,011262,19/09/2026,BRI180,Brillo EZ Tablet,30049099,,141416^BFD0074,01/05/2026,30/04/2028,N,Inside State Purchase GST-5%,10.00,27.94,29.34,I,279.40,31.40,12.40,260.40
20,Toasha Vaccines Southend,07AERPG0961M1Z3,Delhi,Glaxosmithkline Pharmaceuticals Ltd,"WLF20B2024DL000751 , WLF21B2024DL000748",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5243,19/09/2026,SE/PH/GRN/26/6672,CLOSED,Against PO,19/09/2026,19/09/2026,ETVS26/11064,19/09/2026,FLX05,Fluarix SH ( Trivalent ) PFS vaccines,30022024,Nos,141839^AFLUA954AG,01/07/2026,30/06/2027,N,Outside State Purchase GST-5%,200.00,903.81,2499.00,I,180762.00,9038.10,8586.19,180310.10
